,S3P2_ES,,,z,S3P2,S3P2_ES,,,
895,ABOGADA,,8514,4,120,NORMAL BASICA,Ciencias F�sico-Matem�ticas y de las Ingenier�as.,1,
654,ABOGADA,,7511,4,120,NORMALISTA,Ciencias Biol�gicas y de la Salud.,2,
1290,ABOGADA,,7422,4,120,PROFESOR,Ciencias Sociales.,3,
1705,ABOGADO,,7332,4,121,PROFESOR EDUCADOR PREESCOLAR, Humanidades y de las Artes.,4,
1289,ABOGADO EN DERECHO PENAL,,7330,4,122,MAESTRA DE EDUCACION PRIMARIA,,,
2739,ACTUARIA,,7314,4,122,MAESTRA DE PRIMARIA,Salud,1,2
1307,ACTUARIO,,7311,4,122,MAESTRA DE PRIMARIA,Ciencias ,2,1
318,ADMINISTARACION PUBLICA,,7111,4,122,MAESTRA DE PRIMARIA,ingenier�as,3,1
385,ADMINISTRACCION DE EMPRESAS,,5715,4,122,MAESTRO DE PRIMARIA,humanidades,4,3
748,ADMINISTRACION,,5714,4,122,MAESTRO EN EDUCACION PRIMARIA,administraci�n,5,3
1989,ADMINISTRACION,,5611,4,122,MAESTRO EN EDUCACION PRIMARIA,artes,6,4
2071,ADMINISTRACION,,5531,4,122,NORMAL PRIMARIA,ense�anza,7,4
1877,ADMINISTRACION,,5517,4,122,PROFESOR DE PRIMARIA,deportes,8,4
963,ADMINISTRACION,,5514,4,122,PROFESORA EDUCACION PRIMARIA,,,
1760,ADMINISTRACION,,5512,1,1800,TECNICO EN MECANICA INDUSTRIAL,,,
926,ADMINISTRACION DE EMPRESA,,5441,2,1800,DOS AÑOS DE  CARRERA DE PRIMEROS AUXILIO,,,
2363,ADMINISTRACION DE EMPRESA,,5412,3,1800,AUXILIAR CONTABLE,,,
2276,ADMINISTRACION DE EMPRESA,,5335,3,1800,AUXILIAR DE CONTADOR,,,
1763,ADMINISTRACION DE EMPRESAS,,5315,3,1800,CARRERA COMERCIAL,,,
41,ADMINISTRACION DE EMPRESAS,,5312,3,1800,CARRERA COMERCIAL NO QUISO DAR NOMBRE,,,
1048,ADMINISTRACION DE EMPRESAS,,5311,3,1800,COMERCIAL,,,
561,ADMINISTRACION DE EMPRESAS,,5221,3,1800,CONTADOR PRIVADA,,,
490,ADMINISTRACION DE EMPRESAS,,5214,3,1800,CONTADOR PRIVADO,,,
702,ADMINISTRACION DE EMPRESAS,,5213,3,1800,CONTADOR PRIVADO,,,
2238,ADMINISTRACION DE EMPRESAS,,5123,3,1800,CONTADOR PUBLICO,,,
2228,ADMINISTRACION DE EMPRESAS,,5122,3,1800,CULTURA DE BELLEZA,,,
1592,ADMINISTRACION DE EMPRESAS,,5120,3,1800,SECRETARIA,,,
1817,ADMINISTRACION DE EMPRESAS,,5113,3,1800,SECRETARIA ADMINISTRATIVA,,,
1510,ADMINISTRACION DE EMPRESAS,,5111,3,1800,SECRETARIA AUXILIAR,,,
1426,ADMINISTRACION DE EMPRESAS,,2814,3,1800,SECRETARIA EJECUTIVA,,,
1284,ADMINISTRACION DE EMPRESAS,,2521,3,1800,SECRETARIA EJECUTIVA BILINGUE,,,
1488,ADMINISTRACION DE EMPRESAS,,2511,3,1800,SECRETARIADO,,,
589,ADMINISTRACION DE EMPRESAS,,2334,4,1800,TAQUIMECANOGRAFA,,,
5,ADMINISTRACION DE EMPRESAS,,1800,3,2121,ASISTENTE EDUCATIVO,,,
356,ADMINISTRACION DE EMPRESAS,,,3,2121,AUXILIAR EDUCATIVO PREESCOLAR,,,
1300,ADMINISTRACION DE EMPRESAS,,,5,2128,PUERICULTURA,,,
1447,ADMINISTRACION DE EMPRESAS,,,4,2213,DISEÑO GRAFICO,,,
461,ADMINISTRACION DE EMPRESAS,,,4,2225,OLISTICA,,,
878,ADMINISTRACION DE EMPRESAS,,,2,2311,PSICOLOGIA EDUCATIVA,,,
2147,ADMINISTRACION DE EMPRESAS,,,3,2315,TECNICA EN TRABAJO SOCIAL,,,
206,ADMINISTRACION DE EMPRESAS,,,3,2315,TECNICO EN TRABAJO SOCIAL,,,
1365,ADMINISTRACION DE EMPRESAS CONSTRUCTORAS,,,3,2315,TRABAJO SOCIAL,,,
2498,ADMINISTRACION DE EMPRESAS TURISTICAS,,,3,2315,TRABAJO SOCIAL,,,
1977,ADMINISTRACION DE PEQUEÑAS Y MEDIANAS EMPRESAS,,,3,2315,TRABAJO SOCIAL,,,
1902,ADMINISTRACION DEEMPRESAS TURISTICAS,,,3,2315,TRABAJO SOCIAL,,,
1956,ADMINISTRACION EN SISTEMAS COMPUTACIONALES,,,3,2331,CARRERA COMERCIAL,,,
672,ADMINISTRACION FINANCIERA,,,3,2331,CARRERA COMERCIAL,,,
2737,ADMINISTRACION INTERNACIONAL,,,3,2331,CARRERA COMERCIAL,,,
89,ADMINISTRACION PUBLICA,,,3,2331,CARRERA COMERCIAL DE COMERCIO,,,
531,ADMINISTRACION SERVICIOS Y OPERACIONES,,,3,2331,CARRERA TECNICA COMERCIAL,,,
550,ADMINISTRACION Y NEGOCIOS INTERNACIONALES,,,3,2331,COMERCIO,,,
2514,ADMINISTRACON EDUCATIVA,,,3,2331,COMERCIO,,,
1762,ADMINISTRADOR,,,3,2331,COMERCIO,,,
2063,ADMINISTRADOR DE EMPRESAS,,,3,2331,COPMERCIO,,,
1038,ADMINISTRCION,,,3,2331,TECNICA COMERCIAL,,,
187,ADMINSTRACION DE EMPRESAS,,,1,2334,INFORMATICA CONTABLE,,,
2587,ADMISTRACION DE EMPRESAS,,,1,2334,TECNICO EN COMPUTACIÓN Y CONTABILIDAD,,,
1368,AGRONOMIA,,,3,2334,AUXILIAR CONTABLE,,,
2236,AGRONOMIA,,,3,2334,AUXILIAR DE CONTADOR,,,
2837,AGRONOMIA,,,3,2334,CARRERA TECNICA EN CONTADOR PRIVADO,,,
1630,ANALISTA PROGRAMADOR,,,3,2334,CONTABILIDAD,,,
2090,ARQUITECTO,,,3,2334,CONTABILIDAD,,,
2132,ARQUITECTO,,,3,2334,CONTABILIDAD,,,
1577,ARQUITECTURA,,,3,2334,CONTABILIDAD ABMINISTRATIVA,,,
1533,ARQUITECTURA,,,3,2334,CONTADOR PRIVADA -CARRERA COMERCIAL-,,,
1597,ARQUITECTURA,,,3,2334,CONTADOR PRIVADO,,,
471,ARQUITECTURA,,,3,2334,CONTADOR PRIVADO,,,
1082,ARQUITECTURA,,,3,2334,CONTADOR PRIVADO,,,
1132,ARQUITECTURA,,,3,2334,CONTADOR PRIVADO,,,
1755,ARQUITECTURA,,,3,2334,CONTADOR PRIVADO,,,
2219,ARQUITECTURA,,,3,2334,CONTADOR PRIVADO,,,
1371,ARQUITECTURA,,,3,2334,CONTADOR PRIVADO,,,
2824,ARQUITECTURA,,,3,2334,CONTADOR PRIVADO,,,
2154,ARQUITECTURA,,,3,2334,CONTADOR PRIVADO,,,
1357,ARQUITECTURA,,,3,2334,CONTADOR PRIVADO,,,
1174,ARQUITECTURA,,,3,2334,CONTADURIA,,,
519,ARQUITECTURA,,,3,2334,PROFESIONAL TECNICO CONTABLE ADMINISTRATIVO,,,
1988,ARQUITECTURA DE INTERIORES,,,3,2334,TECNICO AUXILIAR CONTABLE,,,
509,ARQUITECTYRA,,,3,2335,PROFESIONAL TECNICO EN TURISMO,,,
1339,ASISTENTE EDUCATIVO,,,3,2335,TECNICA EN HOTELERIA Y GASTRONOMIA,,,
1399,AUDITORIA,,,5,2335,GASTRONOMIA,,,
1696,AUXILIAR ADMINISTRATIVO,,,1,2441,ANALISTA PROGRAMADOR,,,
408,AUXILIAR CONTABLE,,,1,2441,CARRERA TECNICA EN INFORMATICA,,,
2391,AUXILIAR CONTABLE,,,1,2441,CARRERA TECNICA PERFORITA EN COMPUTACION,,,
2848,AUXILIAR CONTABLE,,,1,2441,INFORMATICA ADMINISTRATIVA,,,
1467,AUXILIAR CONTABLE,,,1,2441,INFORMATICA AVANZADA,,,
482,AUXILIAR CONTABLE,,,1,2441,PROGRAMADOR ANALISTA,,,
394,AUXILIAR DE CONTADOR,,,1,2441,PROGRAMADORA ANALISTA,,,
599,AUXILIAR DE CONTADOR,,,1,2441,TECNICO PROFESIONAL EN INFORMATICA,,,
1298,AUXILIAR EDUCATIVO PREESCOLAR,,,1,2441,TECNICO PROGRAMADOR,,,
1119,AUXILIAR EN ENFERMERIA,,,1,2441,TECNOLOGO PROFESIONAL ENINFRMATICA,,,
1123,BIOENERGETICA,,,1,2511,TECNICO EN MAQUINAS Y HERRAMIENTAS,,,
802,BIOLOGIA,,,1,2511,TECNICO EN PRECESOS DE PRODUCCION INDUSTRIAL,,,
2018,BIOLOGIA,,,3,2511,SUPERVISOR INDUSRTRIAL,,,
2199,BIOLOGIA MARINA,,,3,2512,CARRERA TECNICO ELECTRICISTA,,,
1316,BIOMEDICINA Y BIOTECNOLOGIA MOLECULAR,,,1,2513,ELECTRONICA,,,
1854,BIOTECNOLOGIA PRODUCTIVA,,,2,2514,TECNICO QUIMICO INDUSTRIAL,,,
1761,CARRERA COMERCIAL,,,1,2515,TECNICO AUTOMOTRIZ,,,
832,CARRERA COMERCIAL,,,1,2515,TECNICO MECANICO NAVAL,,,
1916,CARRERA COMERCIAL,,,4,2517,MANTENIMIENTO DE COMPUTADORAS,,,
1505,CARRERA COMERCIAL,,,1,2521,PREPARACIÓN DE ALIMENTOS Y BEBIDAS,,,
2599,CARRERA COMERCIAL  DE  SECRETARIADO,,,2,2521,TECNICO EN ALIMENTOS,,,
966,CARRERA COMERCIAL DE COMERCIO,,,2,2611,TECNICA AGROPECUARIA,,,
38,CARRERA COMERCIAL NO QUISO DAR NOMBRE,,,2,2712,AUXILIAR EN ENFERMERIA,,,
759,CARRERA EN RELACIONES INTERNACIONALES,,,2,2712,CARRERA TECNICA EN ENFERMERIA,,,
